TITULO,TIPO
INTERFACES DE SOFTWARE EDUCACIONAL E O PROFESSOR,Trabalho publicado em anais de eventos(Completo)
Analysis of Teacher´s Activity with Educational Software into Computer Laboratory,Trabalho publicado em anais de eventos(Completo)
Levantamento de Requisitos Necessários para Aprendizagem de Programação em Ambientes  Colaborativos a Distância,Dissertação de mestrado
Ferramentas de apoio ao aprendizadode programação na FAFICA.,Trabalho publicado em anais de eventos(Completo)
LabDuino: An open source tool for science education,Trabalho publicado em anais de eventos(Completo)
Uma análise das mídias utilizadas em ambientes virtuais de ensino e aprendizagem,Monografia de conclusão de curso de especialização
Uma análise dos usos do fórum em cursos a distância,Monografia de conclusão de curso de especialização
CONCEITOS PEDAGÓGICOS ESQUECIDOS - Uma análise de ambientes de aprendizagem e os fundamentos do Ambiente Didático Virtual (ADV),Trabalho publicado em anais de eventos(Completo)
Metodologia de criação e uso de kit e-waste para robótica educacional: uma pesquisa ação com foco na aprendizagem de área e perímetro,Dissertação de mestrado
A robótica educacional no ensino de ciencias em teses de doutorado brasileiras,Artigo publicado em periódicos(Completo)
