INSTITUTION,YEAR_INI,YEAR_FIN,MONTH_INI,MONTH_FIN,COURSE,TYPE,DISC
Faculdade Boa Viagem,2005,12,12,12,Ciência da Computação,GRADUACAO,['Linguagem de Programação 1 (Java)']
Faculdade Boa Viagem,2006,6,6,6,Ciência da Computação,GRADUACAO,['Linguagem de Programação 3 (Java para Web)']
Faculdade Boa Viagem,2006,1,1,1,Pós Graduação em Engenharia de Software,POS-GRADUACAO,"['Introdução a Programação Orientada a Objetos', 'Java para Web']"
Faculdade Boa Viagem,2006,7,7,7,Ciência da Computação,GRADUACAO,"['Linguagem de Programação 1 (Java)', 'Linguagem de Programação 2 (Java)']"
Faculdade Boa Viagem,2007,6,6,6,Ciência da Computação,GRADUACAO,['Laboratório de Programação 1 (Orientação a Objetos com Java)']
Faculdade Boa Viagem,2007,10,10,10,Pós-Graduação em Engenharia de Software,POS-GRADUACAO,['Desenvolvimento de Software']
Faculdade Boa Viagem,2007,1,1,1,Pós-Graduação em Engenharia de Software,POS-GRADUACAO,"['Desenvolvimento de Software', 'Análise e Projeto']"
Faculdade Boa Viagem,2008,,ATUAL,ATUAL,Ciência da Computação,GRADUACAO,['Engenharia de Software 2']
Faculdade Boa Viagem,2008,,ATUAL,ATUAL,Ciência da Computação,GRADUACAO,['Sistemas de Informação']
Faculdade Boa Viagem,2009,,ATUAL,ATUAL,Ciência da Computação,GRADUACAO,['Projeto de Desenvolvimento de Software']
Faculdade Boa Viagem,2009,06,06,06,Pós-Graduação em Engenharia de Software,POS-GRADUACAO,['Engenharia de Software']
