PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
SSD Cache,2011,2011,DESENVOLVIMENTO,"['Ioram Schechtman Sette', 'Bruno Falcão de Soulza Cartaxo', 'Thun Pin Tiago de Freitas Chiu', 'Abel Guilhermino da Silva Filho', 'Rodrigo Elia Assad', 'Jose Dirceu Ramos', 'Hamilton Coutinho']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
SSD Cache,2011,2011,PESQUISA,"['Ioram Schechtman Sette', 'Abel Guilhermino da Silva Filho', 'Jose Dirceu Ramos', 'Chiu, Thun Pin T.F.', 'Assad, Rodrigo E.', 'Coutinho, Hamilton', 'Bruno Falcão de Souza Cartaxo']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Trusted Virtual Client Management,2012,2012,DESENVOLVIMENTO,"['Ioram Schechtman Sette', 'Gustavo Eliano de Paula', 'Mauro Faccenda', 'Henrique Marcio de Amorim Magalhães', 'Rafael Bruno Ramos do Amaral', 'Marco Túlio Zahn', 'Mozart Vasconcelos Silva', 'Gustavo Kuhn Andriotti', 'Fábio Almeida Melo']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Cloud Client Security and Management,2012,2013,DESENVOLVIMENTO,"['Ioram Schechtman Sette', 'Gustavo Eliano de Paula', 'Rafael Bruno Ramos do Amaral', 'Romulo Souto Quidute Filho', 'Rafael Brito Di Bernardo', 'Rafaell Cavalcanti da Mota Ribeiro', 'Vinicius Henrique Cantarelli de Oliveira']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Secure Print,2014,ATUAL,DESENVOLVIMENTO,"['Ioram Schechtman Sette', 'Rafael Brito Di Bernardo', 'Alvaro Boa Vista Maia Bisneto', 'Veronica Aveline Nunes', 'Valter Ernei de Menezes Sales']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
New Castle,2015,2016,DESENVOLVIMENTO,"['Ioram Schechtman Sette', 'Ryan Leite Albuquerque', 'Luiz Fernando Rodrigues de Barros Corrêa', 'Edson Samuel Gonzaga da Silva Junior', 'Vitória Vasconcelos', 'Pedro Henrique Vasconcelos de Oliveira', 'Ananilia Waechter Finizola de Albuquerque', 'Melissa Barbosa Pontes', 'Cristiane Muniz de Siqueira Barbosa', 'João Paulo Miranda dos Santos', 'Luiz Henrique Reis de Oliveira', 'Enrico Araújo Monteiro da Cruz', 'Filipe Levi Barros de Azevedo', 'Jordana Bitar Fiuza de Mello', 'Daiana do Egito da Natividade Santos']","['NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Wings,2018,ATUAL,DESENVOLVIMENTO,"['Ioram Schechtman Sette', 'Anderson Balbino Nicodemos Bispo', 'Tarciana Oliveira Mello', 'Marlon Chalegre de Paula', 'Hélson Mário Filgueira de Araújo']","['NAO', 'NAO', 'SIM', 'NAO', 'NAO']"
DevOps,2016,ATUAL,DESENVOLVIMENTO,"['Ioram Schechtman Sette', 'Deni Pinheiro Cavalcanti']","['SIM', 'NAO']"
Cidadão do Futuro - Kidzen,1994,1994,PESQUISA,['Ioram Schechtman Sette'],['SIM']
BBS Ciência,1995,1996,PESQUISA,['Ioram Schechtman Sette'],['SIM']
Desenvolvimento do Software Educacional Coruja em C++ - Projeto de Iniciação Científica - Departamento de Informática - UFPE,1994,1994,DESENVOLVIMENTO,['Ioram Schechtman Sette'],['SIM']
Análise da integração de infraestrutura de nuvem privada com federação CAFe e serviço OpenID,2013,2013,PESQUISA,"['Ioram Schechtman Sette', 'Carlos André Guimarães Ferraz']","['NAO', 'SIM']"
Um modelo para uso de Autorização Federada por Plataformas de Nuvem,2014,2014,PESQUISA,"['Ioram Schechtman Sette', 'Carlos André Guimarães Ferraz']","['NAO', 'SIM']"
Credenciais Verficáveis - MVP,2019,2020,DESENVOLVIMENTO,"['Ioram Schechtman Sette', 'CHADWICK, DAVID W.']","['NAO', 'SIM']"
