PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
Projeto Matematica.net,2001,2002,EXTENSAO,"['Walquíria Castelo Branco Lins', 'Alex Sandro Gomes', 'Verônica Gitirana', 'Flavia Velozo de Souza', 'Luciana Cordeiro Cavalcanti']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO']"
Amadeus,2002,2007,DESENVOLVIMENTO,"['Walquíria Castelo Branco Lins', 'Alex Sandro Gomes', 'Verônica Gitirana', 'Patricia Tedesco', 'Taciana pontual']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO']"
ANÁLISE DA ATIVIDADE DOCENTE COM SOFTWAREEDUCATIVO NO CONTEXTO DO LABORATÓRIO DEINFORMÁTICA,2002,2004,PESQUISA,"['Walquíria Castelo Branco Lins', 'Alex Sandro Gomes']","['SIM', 'NAO']"
INTERAÇÕES EM ATIVIDADES DE DOCÊNCIA ONLINE EM AMBIENTES DE IMERSÃO 3D,2006,2010,PESQUISA,"['Walquíria Castelo Branco Lins', 'Patrícia Smith Cavalcante']","['SIM', 'NAO']"
Orquestração e avaliação de situações de aprendizagem colaborativa em matemática com suporte computacional,2013,2017,PESQUISA,"['Walquíria Castelo Branco Lins', 'Verônica Gitirana', 'Franck Bellemain', 'Paula Moreira Baltar Bellemain', 'Sandra da Silva Santos', 'Bruno Leite Ferreira', 'Cibelle de Fatima Castro de Assis', 'Thyana Farias Galvao de Barros', 'Carolina Soares Ramos', 'Ross A lves do Nascimento', 'Juliana Pereira Gonçalves de Andrade', 'Lilian Débora de Oliveira Barros', 'Rogério da Silva Ignácio']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
FrameAGAP: Framework para o Acompanhamento e Gestão da Aprendizagem Personalizada 1,2022,ATUAL,PESQUISA,"['Walquíria Castelo Branco Lins', 'Verônica Gitirana', 'Joélia Santos de Lima', 'Cristiane de Arimatéa Rocha', 'Rafael Marinho de Albuquerque', 'Valdir Bezerra dos Santos Júnior', 'WILKER VICTOR DA SILVA  AZEVÊDO', 'Luiz Gustavo de Lima Júnior', 'Camila Mendonça Morais', 'Tennyson Accetti Resende Filho', 'Cesar Thiago da Silva']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Ambiente Didático virtual,2004,2007,PESQUISA,"['Walquíria Castelo Branco Lins', 'Verônica Gitirana', 'Franck Bellemain', 'Josenilda Martins de Souza', 'Maria Josenilda Nascimento Gomes', 'Sérgio Paulino Abranches', 'Patrícia Smith Cavalcante', 'Paula Moreira Baltar Bellemain', 'Adriano Pedrosa de Almeida', 'Sandra da Silva Santos', 'Rafael Garcia Barbstefano', 'Paulo Figueiredo Lima', 'Luiz Carlos Guimarães', 'Heloisa Flora Brasil N Bastos', 'Francis Albert Rene Dupuis', 'Elizabeth Belfort da Silva Moren', 'Antonio Carlos Pavão']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Elaboração e utilização de um portal FlexQuest e de séries temáticas de Podcasting de Ciências,2011,2014,PESQUISA,"['Walquíria Castelo Branco Lins', 'Marcelo Brito Carneiro Leão', 'Francislê Neri de Souza', 'Marcos Alexandre de Melo Barros']","['NAO', 'SIM', 'NAO', 'NAO']"
Escolas Rurais Conectadas - da comunidade do Oiteiro,2015,ATUAL,EXTENSAO,['Walquíria Castelo Branco Lins'],['SIM']
Projeto PDE,2013,2015,EXTENSAO,"['Walquíria Castelo Branco Lins', 'Patrícia Smith Cavalcante', 'Carlos Henrique Pompéu']","['SIM', 'NAO', 'NAO']"
Tendencias em Competências Digitais,2019,ATUAL,PESQUISA,"['Walquíria Castelo Branco Lins', 'Juliana Pereira Gonçalves de Andrade']","['SIM', 'NAO']"
PROJETO COGNVOX,2022,ATUAL,PESQUISA,"['Walquíria Castelo Branco Lins', 'Fabiana Wanderley']","['SIM', 'NAO']"
Empowering Teachers for the Engaging Classroom,2015,2016,PESQUISA,"['Walquíria Castelo Branco Lins', 'Verônica Gitirana', 'Patrícia Smith Cavalcante', 'Maria Alice Wanderley Neves', 'Fabiana Wanderley', 'HB Mabuse', 'Manoela Oliveira']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
DESIGN BY BOUNDARIES CROSS IN THE COMMUNITY AROUND THE SCHOOL,2017,2018,PESQUISA,"['Walquíria Castelo Branco Lins', 'Yjrö Engeström']","['SIM', 'NAO']"
