NATUREZA,TITULO,ANO,PAIS,IDIOMA,NOME-DO-CANDIDATO,CODIGO_INSTITUICAO,NOME-DA-INSTITUICAO,NOME-ORGAO,NOME-DO-CURSO,NOME-PARTICIPANTE-BANCA,ORDEM-PARTICIPANTE,NOME-CITACAO-BANCA,NRO-ID-CNPQ,ID,FULL_NAME,LAST_NAME,CITADO,CITY,STATE,RESUME,UPDATE,ADDRESS_ENTERP,ORCID
Mestrado,Sistema Inteligente Baseado em Machine Learning para Predição de Grupo de Risco a Evasão Discente,2019,Brasil,Português,VAZIO,91400000001,Centro de Estudos e Sistemas Avançados do Recife,VAZIO,Mestrado Profissional em Engenharia de Software,Felipe Silva;Maria Carolina Torres da Silva;Erico Souza Teixeira;,1;2;3;,"SILVA, F.;SILVA, M. C. T.;Teixeira, Erico S.;",,1335709989135375,Erico Souza Teixeira,Teixeira,"TEIXEIRA, E. S.;Teixeira, Erico S.;Teixeira, E.;TEIXEIRA, ERICO SOUZA;TEIXEIRA, ERICO",Recife,PE,"Com graduação em Ciência da Computação pela Universidade Federal de Pernambuco (UFPE) (2002), mestrado em Ciência da Computação pelo programa de pós-graduação do Centro de Infórmática da UFPE (2005), doutorado em Química pelo programa de pós-graduação do Departamento de Química Fundamental da UFPE (2009), tendo estágio de pós-doutor do Departamento de Química Fundamental da UFPE (2011-2014) sob coordenação do professor Ricardo L. Longo e do Departamento de Química e Bioquímica da Texas Tech University sob coordenação do professor Jorge A. Morales (2015-2017). Apresento experiência na área de Ciência da Computação, com ênfase em ciências naturais computacionais e computação natural aplicadas nas áreas de bioinformatica, química teórica e computacional, computação quântica e inteligência artificial. Atualmente sou Consultor Educacional do Centro de Estudos e Sistemas Avançados do Recife (CESAR), sendo membro do corpo docente da graduação e pós-graduação do CESAR School, e coordenador do grupo de pesquisa Natural Computing and Computacional Natural Science (C2N2s), no qual se destaca o Quantum Application in Technology and Softwares (|QATS&gt;), grupo voltado para computação quântica.",20-12-2022,Universidade Federal de Pernambuco,https://orcid.org/0000-0003-0520-5075
Mestrado,Business Intelligence para melhorias dos investimentos públicos destinados aos estudantes do IFPE,2019,Brasil,Português,VAZIO,91400000001,Centro de Estudos e Sistemas Avançados do Recife,VAZIO,Mestrado Profissional em Engenharia de Software,Maria Carolina Torres da Silva;Francisco Ícaro do Nascimento Ribeiro;Erico Souza Teixeira;,1;2;3;,"SILVA, M. C. T.;RIBEIRO, F. I. N.;Teixeira, Erico S.;",,1335709989135375,Erico Souza Teixeira,Teixeira,"TEIXEIRA, E. S.;Teixeira, Erico S.;Teixeira, E.;TEIXEIRA, ERICO SOUZA;TEIXEIRA, ERICO",Recife,PE,"Com graduação em Ciência da Computação pela Universidade Federal de Pernambuco (UFPE) (2002), mestrado em Ciência da Computação pelo programa de pós-graduação do Centro de Infórmática da UFPE (2005), doutorado em Química pelo programa de pós-graduação do Departamento de Química Fundamental da UFPE (2009), tendo estágio de pós-doutor do Departamento de Química Fundamental da UFPE (2011-2014) sob coordenação do professor Ricardo L. Longo e do Departamento de Química e Bioquímica da Texas Tech University sob coordenação do professor Jorge A. Morales (2015-2017). Apresento experiência na área de Ciência da Computação, com ênfase em ciências naturais computacionais e computação natural aplicadas nas áreas de bioinformatica, química teórica e computacional, computação quântica e inteligência artificial. Atualmente sou Consultor Educacional do Centro de Estudos e Sistemas Avançados do Recife (CESAR), sendo membro do corpo docente da graduação e pós-graduação do CESAR School, e coordenador do grupo de pesquisa Natural Computing and Computacional Natural Science (C2N2s), no qual se destaca o Quantum Application in Technology and Softwares (|QATS&gt;), grupo voltado para computação quântica.",20-12-2022,Universidade Federal de Pernambuco,https://orcid.org/0000-0003-0520-5075
Mestrado,Uso de Aprendizado de Máquina para Classificação de Cenas Acústicas Envolvendo Violência Doméstica,2019,Brasil,Português,VAZIO,200000993,CESAR School,VAZIO,Engenharia de Software,Ana Paula Carvalho Cavalcanti Furtado;Péricles Barbosa Cunha de Miranda;Erico Souza Teixeira;,1;2;3;,"Ana  Paula Carvalho Cavalcanti Furtado;MIRANDA, P. B. C.;Teixeira, Erico S.;",,1335709989135375,Erico Souza Teixeira,Teixeira,"TEIXEIRA, E. S.;Teixeira, Erico S.;Teixeira, E.;TEIXEIRA, ERICO SOUZA;TEIXEIRA, ERICO",Recife,PE,"Com graduação em Ciência da Computação pela Universidade Federal de Pernambuco (UFPE) (2002), mestrado em Ciência da Computação pelo programa de pós-graduação do Centro de Infórmática da UFPE (2005), doutorado em Química pelo programa de pós-graduação do Departamento de Química Fundamental da UFPE (2009), tendo estágio de pós-doutor do Departamento de Química Fundamental da UFPE (2011-2014) sob coordenação do professor Ricardo L. Longo e do Departamento de Química e Bioquímica da Texas Tech University sob coordenação do professor Jorge A. Morales (2015-2017). Apresento experiência na área de Ciência da Computação, com ênfase em ciências naturais computacionais e computação natural aplicadas nas áreas de bioinformatica, química teórica e computacional, computação quântica e inteligência artificial. Atualmente sou Consultor Educacional do Centro de Estudos e Sistemas Avançados do Recife (CESAR), sendo membro do corpo docente da graduação e pós-graduação do CESAR School, e coordenador do grupo de pesquisa Natural Computing and Computacional Natural Science (C2N2s), no qual se destaca o Quantum Application in Technology and Softwares (|QATS&gt;), grupo voltado para computação quântica.",20-12-2022,Universidade Federal de Pernambuco,https://orcid.org/0000-0003-0520-5075
Mestrado,Aplicação de Aprendizado de Máquina para auxiliar na predição do diagnóstico de bacteremia,2020,Brasil,Português,VAZIO,91400000001,Centro de Estudos e Sistemas Avançados do Recife,VAZIO,Mestrado Profissional em Engenharia de Software,Melissa Barbosa Pontes;Erico Souza Teixeira;Maria Luiza de Medeiros Amaro;,1;2;3;,"PONTES, M. B.;TEIXEIRA, E. S.;AMARO, M. L. M.;",,1335709989135375,Erico Souza Teixeira,Teixeira,"TEIXEIRA, E. S.;Teixeira, Erico S.;Teixeira, E.;TEIXEIRA, ERICO SOUZA;TEIXEIRA, ERICO",Recife,PE,"Com graduação em Ciência da Computação pela Universidade Federal de Pernambuco (UFPE) (2002), mestrado em Ciência da Computação pelo programa de pós-graduação do Centro de Infórmática da UFPE (2005), doutorado em Química pelo programa de pós-graduação do Departamento de Química Fundamental da UFPE (2009), tendo estágio de pós-doutor do Departamento de Química Fundamental da UFPE (2011-2014) sob coordenação do professor Ricardo L. Longo e do Departamento de Química e Bioquímica da Texas Tech University sob coordenação do professor Jorge A. Morales (2015-2017). Apresento experiência na área de Ciência da Computação, com ênfase em ciências naturais computacionais e computação natural aplicadas nas áreas de bioinformatica, química teórica e computacional, computação quântica e inteligência artificial. Atualmente sou Consultor Educacional do Centro de Estudos e Sistemas Avançados do Recife (CESAR), sendo membro do corpo docente da graduação e pós-graduação do CESAR School, e coordenador do grupo de pesquisa Natural Computing and Computacional Natural Science (C2N2s), no qual se destaca o Quantum Application in Technology and Softwares (|QATS&gt;), grupo voltado para computação quântica.",20-12-2022,Universidade Federal de Pernambuco,https://orcid.org/0000-0003-0520-5075
Mestrado,PREDIÇÃO DE IRREGULARIDADE FISCAL ATRAVÉS DE APRENDIZADO DE MÁQUINA: UM ESTUDO DE CASO NO MUNICÍPIO DE FORTALEZA,2021,Brasil,Português,VAZIO,200000993,CESAR School,VAZIO,Engenharia de Software,Rodrigo Carneiro Leão Vieira da Cunha;Erico Souza Teixeira;Alandson Mendonça Ribeiro Meireles;,1;2;3;,"CUNHA, R. C. L. V.;TEIXEIRA, E. S.;MEIRELES, A. M. R.;",,1335709989135375,Erico Souza Teixeira,Teixeira,"TEIXEIRA, E. S.;Teixeira, Erico S.;Teixeira, E.;TEIXEIRA, ERICO SOUZA;TEIXEIRA, ERICO",Recife,PE,"Com graduação em Ciência da Computação pela Universidade Federal de Pernambuco (UFPE) (2002), mestrado em Ciência da Computação pelo programa de pós-graduação do Centro de Infórmática da UFPE (2005), doutorado em Química pelo programa de pós-graduação do Departamento de Química Fundamental da UFPE (2009), tendo estágio de pós-doutor do Departamento de Química Fundamental da UFPE (2011-2014) sob coordenação do professor Ricardo L. Longo e do Departamento de Química e Bioquímica da Texas Tech University sob coordenação do professor Jorge A. Morales (2015-2017). Apresento experiência na área de Ciência da Computação, com ênfase em ciências naturais computacionais e computação natural aplicadas nas áreas de bioinformatica, química teórica e computacional, computação quântica e inteligência artificial. Atualmente sou Consultor Educacional do Centro de Estudos e Sistemas Avançados do Recife (CESAR), sendo membro do corpo docente da graduação e pós-graduação do CESAR School, e coordenador do grupo de pesquisa Natural Computing and Computacional Natural Science (C2N2s), no qual se destaca o Quantum Application in Technology and Softwares (|QATS&gt;), grupo voltado para computação quântica.",20-12-2022,Universidade Federal de Pernambuco,https://orcid.org/0000-0003-0520-5075
Mestrado,Estudo de Diretrizes para a Comunicação Interna em um Instituto de Inovação a partir de uma Construção de Design Colaborativo,2019,Brasil,Português,VAZIO,91400000001,Centro de Estudos e Sistemas Avançados do Recife,VAZIO,Mestrado Profissional em Design,Erika Cavalcanti Madeira Campos;Leonardo Augusto Gómez Castillo;Pedro Paulo Procópio de Oliveira Santos;,1;2;3;,"CAMPOS, E. C. M.;CASTILLO, L.;SANTOS, P. P. P. O.;",,1391494412451943,Erika Cavalcanti Madeira Campos,Campos,"CAMPOS, E. C. M.;CAMPOS, E.",Recife,PE,"Doutoranda em Design pela UFPE, Mestre em Design pela CESAR School, Graduada em Desenho Industrial - Pós Graduada em Administração de Marketing pela Universidade de Pernambuco; Designer pela Universidade Federal de Pernambuco (1994) e Jornalista pela Universidade Católica de Pernambuco (1997). Trabalha como designer de Interação / Interface, Design Lead no CESAR - Centro de Estudos e Sistemas Avançados do Recife e como professora no Mestrado em Design, Pós Graduações e Graduação em Design na CESAR School. Tem experiência com design gráfico, design de interface, de interação para dispositivos digitais, design da Experiência e inovação pelo design. participando também de consultorias em inovação. Também atuou como líder de equipe/ líder técnico em projetos de design por mais de 9 anos. Possui Certificação CAPM [Certifield Associate in Project Management ], do PMI.",15-05-2022,Centro de Estudos e Sistemas Avançados do Recife,
Mestrado,O celular como otimizador do rendimento do aluno: a utilização da tecnologia como método que acessore o professor na prática de ensino aliada às redes sociais.,2020,Brasil,Português,VAZIO,91400000001,Centro de Estudos e Sistemas Avançados do Recife,VAZIO,Mestrado Profissional em Design,Erika Cavalcanti Madeira Campos;Walter Frankin Marques Correia;Eduardo José Gonçalves de Oliveira;,1;2;3;,"CAMPOS, E. C. M.;CORREIA, W. F. M.;OLIVEIRA, E. J. G.;",,1391494412451943,Erika Cavalcanti Madeira Campos,Campos,"CAMPOS, E. C. M.;CAMPOS, E.",Recife,PE,"Doutoranda em Design pela UFPE, Mestre em Design pela CESAR School, Graduada em Desenho Industrial - Pós Graduada em Administração de Marketing pela Universidade de Pernambuco; Designer pela Universidade Federal de Pernambuco (1994) e Jornalista pela Universidade Católica de Pernambuco (1997). Trabalha como designer de Interação / Interface, Design Lead no CESAR - Centro de Estudos e Sistemas Avançados do Recife e como professora no Mestrado em Design, Pós Graduações e Graduação em Design na CESAR School. Tem experiência com design gráfico, design de interface, de interação para dispositivos digitais, design da Experiência e inovação pelo design. participando também de consultorias em inovação. Também atuou como líder de equipe/ líder técnico em projetos de design por mais de 9 anos. Possui Certificação CAPM [Certifield Associate in Project Management ], do PMI.",15-05-2022,Centro de Estudos e Sistemas Avançados do Recife,
Mestrado,Design Estratégico no setor público: um estudo da contribuição do Design na construção do Plano de Turismo Criativo do Recife 2019-2012,2019,Brasil,Português,VAZIO,91400000001,Centro de Estudos e Sistemas Avançados do Recife,VAZIO,Mestrado Profissional em Design,Erika Cavalcanti Madeira Campos;Leonardo Augusto Gómez Castillo;Paula de Oliveira Leal Vilaça;,1;2;3;,"CAMPOS, E. C. M.;CASTILLO, L.;Vilaça, P.;",,1391494412451943,Erika Cavalcanti Madeira Campos,Campos,"CAMPOS, E. C. M.;CAMPOS, E.",Recife,PE,"Doutoranda em Design pela UFPE, Mestre em Design pela CESAR School, Graduada em Desenho Industrial - Pós Graduada em Administração de Marketing pela Universidade de Pernambuco; Designer pela Universidade Federal de Pernambuco (1994) e Jornalista pela Universidade Católica de Pernambuco (1997). Trabalha como designer de Interação / Interface, Design Lead no CESAR - Centro de Estudos e Sistemas Avançados do Recife e como professora no Mestrado em Design, Pós Graduações e Graduação em Design na CESAR School. Tem experiência com design gráfico, design de interface, de interação para dispositivos digitais, design da Experiência e inovação pelo design. participando também de consultorias em inovação. Também atuou como líder de equipe/ líder técnico em projetos de design por mais de 9 anos. Possui Certificação CAPM [Certifield Associate in Project Management ], do PMI.",15-05-2022,Centro de Estudos e Sistemas Avançados do Recife,
Mestrado,Análise da Emergência Narrativa em Metal Gear Solid V: The Phantom Pain,2015,Brasil,Português,VAZIO,2100000009,Universidade Federal de Pernambuco,VAZIO,Design,André M. M. Neves;Paulo Carneiro Cunha Filho;Leonardo Henrique Lago Falcão;,1;2;3;,"NEVES, A. M. M.;CUNHA FILHO, Paulo C.;FALCÃO, Leo;",,2695085711637635,Leo Falcão,Falcão,"FALCÃO, Leo;FALCÃO, L.;FALCÃO, Leonardo Henrique Lago;FALCÃO, Leonardo H L",Recife,PE,"Doutor pelo Programa de Pós-Graduação em Design pela UFPE, especialista em Estudos Cinematográficos pela UNICAP e graduado em Comunicação Social pela UFPE. Tem uma carreira premiada como roteirista, diretor e produtor de cinema e TV, além de manter seu trabalho como músico. Nos últimos anos, tem estendido sua experiência para outros meios narrativos como literatura, teatro e áreas experimentais, tornando-se uma referência em projetos transmídia e narrativas contemporâneas. Foi vencedor do prêmio Young Creative Entrepreneur Award, promovido pelo British Council em 2012 ? e um dos artistas brasileiros selecionados para o Programa The Playable City, uma residência artística no Pervasive Media Studio em Bristol, Reino Unido, com o apoio do British Council e do Porto Digital. Seus interesses de pesquisa acadêmica e artística abrangem processos de criação e produção em formatos narrativos diversos: artes e narrativas contemporâneas, cinema (roteiro e direção), games, novas mídias, televisão, quadrinhos, música e publicidade. Foi por vários anos docente da UNICAP e atualmente é professor, pesquisador e designer de narrativas na CESAR School.",14-10-2022,Centro de Estudos e Sistemas Avançados do Recife,
Mestrado,Gamificação em Cenários de Aprendizageem como Estratégia para o Engajamento Estudantil,2018,Brasil,Português,VAZIO,2100000009,Universidade Federal de Pernambuco,VAZIO,Educação Matemática e Tecnológica,Romero Tori;Leonardo Henrique Lago Falcão;Marcelo Sabatini;,1;2;3;,"TORI, Romero;FALCÃO, Leo;SABATINI, M.;",,2695085711637635,Leo Falcão,Falcão,"FALCÃO, Leo;FALCÃO, L.;FALCÃO, Leonardo Henrique Lago;FALCÃO, Leonardo H L",Recife,PE,"Doutor pelo Programa de Pós-Graduação em Design pela UFPE, especialista em Estudos Cinematográficos pela UNICAP e graduado em Comunicação Social pela UFPE. Tem uma carreira premiada como roteirista, diretor e produtor de cinema e TV, além de manter seu trabalho como músico. Nos últimos anos, tem estendido sua experiência para outros meios narrativos como literatura, teatro e áreas experimentais, tornando-se uma referência em projetos transmídia e narrativas contemporâneas. Foi vencedor do prêmio Young Creative Entrepreneur Award, promovido pelo British Council em 2012 ? e um dos artistas brasileiros selecionados para o Programa The Playable City, uma residência artística no Pervasive Media Studio em Bristol, Reino Unido, com o apoio do British Council e do Porto Digital. Seus interesses de pesquisa acadêmica e artística abrangem processos de criação e produção em formatos narrativos diversos: artes e narrativas contemporâneas, cinema (roteiro e direção), games, novas mídias, televisão, quadrinhos, música e publicidade. Foi por vários anos docente da UNICAP e atualmente é professor, pesquisador e designer de narrativas na CESAR School.",14-10-2022,Centro de Estudos e Sistemas Avançados do Recife,
